Player,Nation,Pos,Squad,Age,Weekly Wages,Annual Wages
João Gomes,br BRA,CM,Wolves,24,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Dan Burn,eng ENG,CB,Newcastle Utd,33,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Aaron Hickey,sct SCO,RB,Brentford,23,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Michael Keane,eng ENG,CB,Everton,32,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Issa Diop,fr FRA,CB,Fulham,28,"£ 70,000 (€ 80,789, $93,712)","£ 3,640,000 (€ 4,201,051, $4,873,003)"
Lucas Bergvall,,CM,Tottenham,19,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Luis Sinisterra,co COL,LW,Bournemouth,26,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Maxwel Cornet,ci CIV,LW,West Ham,28,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Neco Williams,wls WAL,RB,Nott'ham Forest,24,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Adama Traoré,es ESP,RW,Fulham,29,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Kenny Tete,nl NED,RB,Fulham,29,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Timothy Castagne,be BEL,RB,Fulham,29,"£ 65,000 (€ 75,019, $87,018)","£ 3,380,000 (€ 3,900,976, $4,524,931)"
Saša Lukić,rs SRB,DM,Fulham,28,"£ 63,000 (€ 72,711, $84,340)","£ 3,276,000 (€ 3,780,946, $4,385,702)"
Manor Solomon,il ISR,LW,Tottenham,25,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Daniel Muñoz,co COL,RB,Crystal Palace,29,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Will Hughes,eng ENG,CM,Crystal Palace,30,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Lewis Cook,eng ENG,CM,Bournemouth,28,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Tyler Adams,us USA,DM,Bournemouth,26,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Ross Barkley,eng ENG,CM,Aston Villa,31,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Fabian Schär,ch SUI,CB,Newcastle Utd,33,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Nick Pope,eng ENG,GK,Newcastle Utd,33,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Nicolás González,es ESP,CM,Manchester City,23,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Robert Sánchez,es ESP,GK,Chelsea,27,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Danny Welbeck,eng ENG,CF,Brighton,34,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
James Milner,eng ENG,CM,Brighton,39,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Mats Wieffer,nl NED,DM,Brighton,25,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Emile Smith Rowe,eng ENG,AM,Fulham,24,"£ 60,000 (€ 69,248, $80,324)","£ 3,120,000 (€ 3,600,901, $4,176,859)"
Jakub Kiwior,pl POL,CB,Arsenal,25,"£ 58,000 (€ 66,940, $77,647)","£ 3,016,000 (€ 3,480,871, $4,037,631)"
Vitaliy Mykolenko,ua UKR,LB,Everton,26,"£ 58,000 (€ 66,940, $77,647)","£ 3,016,000 (€ 3,480,871, $4,037,631)"
Yves Bissouma,ml MLI,DM,Tottenham,28,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Chris Richards,us USA,CB,Crystal Palace,25,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Luis Díaz,co COL,LW,Liverpool,28,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Boubacar Traoré,ml MLI,DM,Wolves,23,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Emil Krafth,se SWE,RB,Newcastle Utd,30,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Adam Webster,eng ENG,CB,Brighton,30,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Séamus Coleman,ie IRL,RB,Everton,36,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Sander Berge,no NOR,DM,Fulham,27,"£ 55,000 (€ 63,477, $73,631)","£ 2,860,000 (€ 3,300,826, $3,828,788)"
Albert Sambi Lokonga,be BEL,CM,Arsenal,25,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Alejandro Garnacho,,AM,Manchester Utd,21,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Micky van de Ven,nl NED,CB,Tottenham,24,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Jean-Philippe Mateta,fr FRA,CF,Crystal Palace,28,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Marc Guéhi,eng ENG,CB,Crystal Palace,24,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Maxence Lacroix,fr FRA,CB,Crystal Palace,25,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Nathaniel Clyne,eng ENG,RB,Crystal Palace,34,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
David Brooks,wls WAL,RW,Bournemouth,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Ilya Zabarnyi,,CB,Bournemouth,22,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Marcos Senesi,ar ARG,CB,Bournemouth,28,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Neto,br BRA,GK,Bournemouth,35,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Pascal Struijk,nl NED,CB,Leeds United,25,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Konstantinos Mavropanos,gr GRE,CB,West Ham,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Nayef Aguerd,ma MAR,CB,West Ham,29,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Wataru Endo,jp JPN,DM,Liverpool,32,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Marshall Munetsi,zw ZIM,CM,Wolves,29,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Matt Doherty,ie IRL,RB,Wolves,33,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Odysseas Vlachodimos,gr GRE,GK,Newcastle Utd,31,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Valentino Livramento,eng ENG,RB,Newcastle Utd,22,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Jeremy Doku,be BEL,LW,Manchester City,23,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Oscar Bobb,,RW,Manchester City,21,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Igor Thiago,,CF,Brentford,24,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Keane Lewis-Potter,eng ENG,LB,Brentford,24,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Mathias Jensen,dk DEN,CM,Brentford,29,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Carney Chukwuemeka,eng ENG,CM,Chelsea,21,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Filip Jørgensen,dk DEN,GK,Chelsea,23,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Marc Guiu,,CF,Chelsea,19,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Noni Madueke,,,Chelsea,23,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Trevoh Chalobah,eng ENG,CB,Chelsea,25,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Brajan Gruda,,RW,Brighton,21,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Jan Paul van Hecke,nl NED,CB,Brighton,25,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
João Pedro,br BRA,CF,Brighton,23,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Joël Veltman,nl NED,RB,Brighton,33,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Matt O'Riley,dk DEN,CM,Brighton,24,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Pervis Estupiñán,ec ECU,LB,Brighton,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Solly March,eng ENG,RW,Brighton,30,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Beto,gw GNB,CF,Everton,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Lewis O'Brien,eng ENG,CM,Nott'ham Forest,26,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Ryan Yates,eng ENG,CM,Nott'ham Forest,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Taiwo Awoniyi,ng NGA,CF,Nott'ham Forest,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Andreas Pereira,br BRA,AM,Fulham,29,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Antonee Robinson,us USA,LB,Fulham,27,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Harrison Reed,eng ENG,CM,Fulham,30,"£ 50,000 (€ 57,707, $66,937)","£ 2,600,000 (€ 3,000,751, $3,480,716)"
Fabio Vieira,pt POR,AM,Arsenal,25,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Tom Heaton,eng ENG,GK,Manchester Utd,39,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Rob Holding,eng ENG,CB,Crystal Palace,29,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Hamed Junior Traorè,ci CIV,AM,Bournemouth,25,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Philip Billing,dk DEN,CM,Bournemouth,29,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Brenden Aaronson,us USA,AM,Leeds United,24,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Samuel Iling-Junior,eng ENG,LW,Aston Villa,21,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Emmanuel Agbadou,ci CIV,CB,Wolves,28,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Bryan Mbeumo,cm CMR,,Brentford,25,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Lesley Ugochukwu,fr FRA,DM,Chelsea,21,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Malo Gusto,fr FRA,RB,Chelsea,22,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Roméo Lavia,,DM,Chelsea,21,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Ibrahim Osman,,LW,Brighton,20,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Igor,br BRA,CB,Brighton,27,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Tariq Lamptey,gh GHA,RB,Brighton,24,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Iliman Ndiaye,sn SEN,LW,Everton,25,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Ola Aina,ng NGA,RB,Nott'ham Forest,28,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Calvin Bassey,ng NGA,CB,Fulham,25,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Ryan Sessegnon,eng ENG,LB,Fulham,25,"£ 45,000 (€ 51,936, $60,243)","£ 2,340,000 (€ 2,700,676, $3,132,645)"
Myles Lewis-Skelly,,LB,Arsenal,18,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Patrick Dorgu,,LM,Manchester Utd,20,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Bryan Gil,es ESP,LW,Tottenham,24,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Djed Spence,eng ENG,LB,Tottenham,24,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Matheus França,,AM,Crystal Palace,21,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Tyrick Mitchell,eng ENG,LB,Crystal Palace,25,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Adam Smith,eng ENG,RB,Bournemouth,34,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Alex Scott,eng ENG,CM,Bournemouth,21,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Ethan Ampadu,wls WAL,CB,Leeds United,24,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Joe Rodon,wls WAL,CB,Leeds United,27,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Harvey Elliott,eng ENG,AM,Liverpool,22,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Stefan Bajcetic,,DM,Liverpool,20,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
José Sá,pt POR,GK,Wolves,32,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Ki-Jana Hoever,nl NED,RB,Wolves,23,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Sam Johnstone,eng ENG,GK,Wolves,32,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Josh Cullen,ie IRL,CM,Burnley,29,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Jamaal Lascelles,eng ENG,CB,Newcastle Utd,31,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Martin Dúbravka,sk SVK,GK,Newcastle Utd,36,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Sávio,br BRA,RW,Manchester City,21,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Vitor Reis,,CB,Manchester City,19,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Christian Nørgaard,dk DEN,DM,Brentford,31,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Fabio Carvalho,pt POR,AM,Brentford,22,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Frank Onyeka,ng NGA,CM,Brentford,27,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Kristoffer Ajer,no NOR,CB,Brentford,27,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Armando Broja,al ALB,CF,Chelsea,23,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Axel Disasi,fr FRA,CB,Chelsea,27,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Gaga Slonina,us USA,GK,Chelsea,21,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Yankuba Minteh,,RW,Brighton,20,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Elliot Anderson,eng ENG,CM,Nott'ham Forest,22,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Emmanuel Dennis,ng NGA,CF,Nott'ham Forest,27,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Matt Turner,us USA,GK,Nott'ham Forest,31,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Murillo,,CB,Nott'ham Forest,22,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Omar Richards,eng ENG,LB,Nott'ham Forest,27,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Willy Boly,ci CIV,CB,Nott'ham Forest,34,"£ 40,000 (€ 46,165, $53,549)","£ 2,080,000 (€ 2,400,601, $2,784,573)"
Altay Bayındır,tr TUR,GK,Manchester Utd,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Adam Wharton,,DM,Crystal Palace,21,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Chris Mepham,wls WAL,CB,Bournemouth,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Dango Ouattara,bf BFA,LW,Bournemouth,23,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Marcus Tavernier,eng ENG,LW,Bournemouth,26,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Romain Faivre,fr FRA,RM,Bournemouth,26,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Maximilian Wöber,at AUT,CB,Leeds United,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Álex Moreno,es ESP,LB,Aston Villa,32,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
André,br BRA,DM,Wolves,23,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Jean-Ricner Bellegarde,fr FRA,CM,Wolves,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Sasa Kalajdzic,at AUT,CF,Wolves,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Bashir Humphreys,,LB,Burnley,22,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Jaidon Anthony,eng ENG,LW,Burnley,25,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Joe Worrall,eng ENG,CB,Burnley,28,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Jacob Murphy,eng ENG,RW,Newcastle Utd,30,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Mads Roerslev,dk DEN,RB,Brentford,26,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Mikkel Damsgaard,dk DEN,AM,Brentford,24,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Rico Henry,eng ENG,LB,Brentford,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Bart Verbruggen,nl NED,GK,Brighton,22,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Jake O'Brien,,RB,Everton,24,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Matz Sels,be BEL,GK,Nott'ham Forest,33,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Morato,br BRA,CB,Nott'ham Forest,24,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Nicolás Domínguez,ar ARG,CM,Nott'ham Forest,27,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Harry Wilson,wls WAL,RW,Fulham,28,"£ 35,000 (€ 40,395, $46,856)","£ 1,820,000 (€ 2,100,526, $2,436,501)"
Lyle Foster,za RSA,CF,Burnley,24,"£ 32,500 (€ 37,509, $43,509)","£ 1,690,000 (€ 1,950,488, $2,262,466)"
Chadi Riad,,CB,Crystal Palace,22,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Naouirou Ahamada,fr FRA,CM,Crystal Palace,23,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Illan Meslier,fr FRA,GK,Leeds United,25,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Jayden Bogle,eng ENG,RB,Leeds United,24,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Karl Darlow,wls WAL,GK,Leeds United,34,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Sam Greenwood,eng ENG,CF,Leeds United,23,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Wilfried Gnonto,it ITA,RW,Leeds United,21,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Crysencio Summerville,nl NED,LW,West Ham,23,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Jarell Quansah,,CB,Liverpool,22,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Santiago Bueno,uy URU,CB,Wolves,26,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Connor Roberts,wls WAL,RB,Burnley,29,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Marcus Edwards,eng ENG,RW,Burnley,26,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Zeki Amdouni,ch SUI,CF,Burnley,24,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Ethan Pinnock,jm JAM,CB,Brentford,32,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Nathan Collins,ie IRL,CB,Brentford,24,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Vitaly Janelt,de GER,DM,Brentford,27,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Andrey Santos,,CM,Chelsea,21,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
David Datro Fofana,,CF,Chelsea,22,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Evan Ferguson,ie IRL,CF,Brighton,20,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
James Garner,eng ENG,DM,Everton,24,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Youssef Chermiti,,CF,Everton,21,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Danilo,br BRA,DM,Nott'ham Forest,24,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Ramón Sosa,py PAR,LW,Nott'ham Forest,25,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Tom Cairney,sct SCO,CM,Fulham,34,"£ 30,000 (€ 34,624, $40,162)","£ 1,560,000 (€ 1,800,450, $2,088,430)"
Nathan Patterson,sct SCO,RB,Everton,23,"£ 28,000 (€ 32,316, $37,485)","£ 1,456,000 (€ 1,680,420, $1,949,201)"
Kobbie Mainoo,,CM,Manchester Utd,20,"£ 25,000 (€ 28,853, $33,468)","£ 1,300,000 (€ 1,500,375, $1,740,358)"
Alejo Veliz,,CF,Tottenham,21,"£ 25,000 (€ 28,853, $33,468)","£ 1,300,000 (€ 1,500,375, $1,740,358)"
